epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,509.346,1.18804,0.95949,2.39838,0.81328,0.82057,0.84087,0.59316,1.22663,1.19518,2.63258,0.000990365,0.000990365,0.000990365
43,520.025,1.13217,0.92665,2.2942,0.94123,0.84444,0.93875,0.64732,1.35849,1.06004,2.69544,0.000973861,0.000973861,0.000973861
44,530.901,1.23299,1.02942,2.48254,0.98188,0.84444,0.94101,0.62245,1.34749,1.03199,2.65233,0.000957358,0.000957358,0.000957358
45,541.687,1.22963,0.99289,2.50897,0.86423,0.92347,0.91938,0.64216,1.32387,1.01331,2.59286,0.000940855,0.000940855,0.000940855
46,552.323,1.21591,1.06564,2.42474,0.75484,0.94694,0.86988,0.62334,1.23519,0.99067,2.57401,0.000924352,0.000924352,0.000924352
47,563.023,1.10622,0.88438,2.31049,0.87477,0.75,0.82562,0.55775,1.28816,1.09632,2.68984,0.000907848,0.000907848,0.000907848
48,573.746,1.35264,1.23479,2.61923,0.75369,0.9,0.85313,0.59171,1.23283,1.19537,2.65991,0.000891345,0.000891345,0.000891345
49,584.389,1.19704,1.03052,2.59329,0.93863,0.89435,0.95728,0.6515,1.3022,1.15118,2.67786,0.000874842,0.000874842,0.000874842
50,595.25,1.11758,0.95995,2.22618,0.9703,0.87745,0.97571,0.68151,1.32052,0.98852,2.61968,0.000858338,0.000858338,0.000858338
51,606.091,1.17387,1.00053,2.51749,0.93348,0.9,0.96167,0.69779,1.24577,0.94983,2.56521,0.000841835,0.000841835,0.000841835
52,616.915,1.14602,1.0512,2.3603,0.95632,0.9,0.94528,0.67965,1.24459,0.96309,2.53333,0.000825332,0.000825332,0.000825332
53,627.663,1.22321,1.03543,2.40104,0.91152,0.85497,0.95332,0.66789,1.24239,1.07695,2.48306,0.000808828,0.000808828,0.000808828
54,638.367,1.15145,0.99347,2.32441,0.92845,0.83889,0.95322,0.63181,1.21111,1.27504,2.53228,0.000792325,0.000792325,0.000792325
55,649.102,1.10685,0.92621,2.34215,0.82022,0.85812,0.91425,0.65193,1.17118,1.35146,2.47553,0.000775822,0.000775822,0.000775822
56,659.767,1.27631,1.00701,2.59962,0.9402,0.75504,0.92565,0.68762,1.1646,1.14825,2.43907,0.000759318,0.000759318,0.000759318
57,670.384,1.34179,1.31662,2.6761,0.76918,0.83298,0.86715,0.60979,1.28231,1.26127,2.58867,0.000742815,0.000742815,0.000742815
58,681.025,0.99795,0.78903,2.34023,0.94729,0.69444,0.85271,0.59375,1.28889,1.30242,2.66543,0.000726312,0.000726312,0.000726312
59,691.742,1.16484,0.89809,2.44752,0.84226,0.74444,0.88768,0.64317,1.12027,1.19406,2.48741,0.000709809,0.000709809,0.000709809
60,702.45,1.06982,0.78456,2.39869,0.94578,0.8037,0.95833,0.65773,1.09623,1.16822,2.39601,0.000693305,0.000693305,0.000693305
61,713.942,1.11358,0.88155,2.30103,0.95996,0.81171,0.96014,0.6792,1.12679,1.28528,2.48634,0.000676802,0.000676802,0.000676802
62,725.593,1.11156,1.03213,2.48117,0.93064,0.88316,0.95696,0.71899,1.12277,1.05393,2.5354,0.000660299,0.000660299,0.000660299
63,736.991,1.11289,0.9141,2.35615,0.91987,0.89444,0.96292,0.72773,1.30818,0.94441,2.67603,0.000643795,0.000643795,0.000643795
64,748.4,1.01229,0.7663,2.1751,0.84254,0.81206,0.92715,0.7084,1.2825,0.97005,2.55154,0.000627292,0.000627292,0.000627292
65,762.381,1.02331,0.82549,2.2507,0.95517,0.89444,0.97796,0.74283,1.17292,0.84276,2.44262,0.000610789,0.000610789,0.000610789
66,773.304,1.04931,0.81964,2.40328,0.95818,0.90596,0.97833,0.74914,1.14016,0.83448,2.55805,0.000594286,0.000594286,0.000594286
67,784.293,0.98533,0.775,2.29731,0.94867,0.89848,0.95941,0.75369,1.14595,0.98523,2.53164,0.000577782,0.000577782,0.000577782
68,795.212,1.06914,0.75556,2.44259,0.84666,0.87698,0.91607,0.67365,1.18797,1.18605,2.50214,0.000561279,0.000561279,0.000561279
69,806.026,0.97645,0.80876,2.32312,0.92786,0.94444,0.97136,0.6995,1.22524,1.09037,2.61905,0.000544776,0.000544776,0.000544776
70,816.938,1.12107,1.00886,2.39247,0.91461,0.96832,0.98167,0.69594,1.23391,0.84788,2.65686,0.000528272,0.000528272,0.000528272
71,828.934,0.96892,0.77921,2.32459,0.89163,0.92742,0.96051,0.65617,1.24766,0.81061,2.63922,0.000511769,0.000511769,0.000511769
72,840.296,1.16927,0.9946,2.54293,0.93948,0.88362,0.96924,0.70714,1.19046,0.84915,2.63256,0.000495266,0.000495266,0.000495266
73,851.538,0.95956,0.787,2.50169,0.84092,0.9175,0.94557,0.69208,1.19862,1.06208,2.73198,0.000478762,0.000478762,0.000478762
